course,code,description
Accounting for finance,FIN-411,The objective of the course is to provide participants with financial accounting mechanisms for understanding the financial statements of a company.
Advanced algorithms,CS-450,"A first graduate course in algorithms, this course assumes minimal background, but moves rapidly. The objective is to learn the main techniques of algorithm analysis and design, while building a repertory of basic algorithmic solutions to problems in many domains."
Advanced analog and RF integrated circuits design I,EE-520,"This course covers the design of advanced analog integrated circuits, focusing on the design of switched-capacitor and continuous-time integrated filters.The objective is to be able to design integrated filters starting from the system specifications and choosing the appropriate technique."
Advanced analog and RF integrated circuits design II,EE-521,"This course covers the design of integrated RF circuits focusing on the main components and circuits required to build a radio implemented in CMOS technology.The main objective is to understand RF transceivers and be able to design basic RF integrated circuits."
Advanced analysis I,MATH-400,"Getting access to the concept of measures and probabilities, to that of Lebesgue's integral as well as to the idea of Fourier."
Advanced analysis II,MATH-401,"Getting access to the use of Banach spaces, Hilbert spaces, Fourier series, Fourier tansforms and distributions."
Advanced bioengineering methods laboratory,BIOENG-444,Advanced Bioengineering Methods Laboratories (ABML) offers laboratory practice and data analysis. These active sessions present a variety of techniques employed in the bioengineering field and matching a quantitative and technological based approach.
Advanced compiler construction,CS-420,Students learn several implementation techniques for modern functional and object-oriented programming languages. They put some of them into practice by developing key parts of a compiler and run time system for a simple functional programming language.
Advanced composites in engineering structures,CIVIL-443,"The objective of the course is to:1.   Introduce topics in properties, processing, mechanical behavior, characterization, analysis and structural design of Fiber Reinforced Composites2.   Help students develop their research skills through independent investigations on research topics."
Advanced computer architecture,CS-470,The course studies the most important techniques to exploit Instruction-Level Parallelism and discusses the relation with the critical phases of compilation. It also analyses emerging classes of processors for complex single-chip systems.
Advanced computer graphics,CS-440,"This course covers advanced 3D graphics techniques for realistic image synthesis. Students will learn how light interacts with objects in our world, and how to recreate these phenomena in a computer simulation to create synthetic images that are indistinguishable from photographs."
Advanced control systems,ME-524,"This course covers some theoretical and practical aspects of robust and adaptive control. Robust controller design with H-infinity performance, digital controller design with pole placement technique, direct, indirect and switching adaptive control are studied and implemented in a hands-on lab."
Advanced cryptography,COM-501,"This course reviews some failure cases in public-key cryptography. It introduces some cryptanalysis techniques. It also presents fundamentals in cryptography such as interactive proofs. Finally, it presents some techniques to validate the security of cryptographic primitives."
Advanced derivatives,FIN-503,The course covers a wide range of advanced topics in derivatives pricing
Advanced diffusional separation processes,ChE-402,"Design of selected separation processes (gas absorption and stripping, distillation, membrane separations) using the mass-transfer approach."
Advanced digital communications,COM-510,"Digital communication systems are basic workhorses behind the information age. Examples include high-speed wired and wireless networks, but also CDs, hard drives, and flash memory. This class presents the tools and concepts behind present and emerging systems, including OFDM, GSM, 3G, and 4G/LTE."
Advanced energetics,ME-451,"Methods for the rational use and conversion of energy in industrial processes : how to analyse the energy usage, calculate the heat recovery by pinch analysis, define heat exchanger network, integrate heat pumps and cogeneration units and realise exergy analysis of energy conversion systems."
Advanced heat transfer,ME-465,"The course will deepen the fundamentals of heat transfer. Particular focus will be put on convective and radiative heat transfer, and computational approaches to solve complex, coupled heat transfer problems."
"Advanced information, computation, communication I",CS-101,"Discrete mathematics is a discipline with applications to almost all areas of study. It provides a set of indispensable tools to computer science in particular. This course introduces students to topics as diverse as mathematical reasoning, combinatorics, discrete structures & algorithmic thinking."
"Advanced information, computation, communication II",COM-102,"Text, sound, and images are examples of information sources stored in our computers and/or communicated over the Internet. How do we measure, compress, and protect the informatin they contain?"
Advanced lab in Electrical Energy Systems,EE-588,"The purpose of this teaching lab is to put together all the concepts learned during the course into electrical energy by the implementation of an islanded production unit. The number of places is limited, therefore the student must contact the teacher before the beginning of the course."
Advanced lab in Electrical Engineering,EE-598,This teaching lab provides the experimental experiences associated to courses of all MSc orientations in EE. The experiments cover all the fields belonging to EE.
Advanced lab in Electrical Engineering,EE-598,This teaching lab provides the experimental experiences associated to courses of all MSc orientations in EE. The experiments cover all the fields belonging to EE.
Advanced machine learning,MICRO-570,"This course will present some of the core advanced methods in the field for structure discovery, classification and non-linear regression. This is an advanced class in Machine Learning; hence, students are expected to have some background in the field. "
Advanced materials for photovoltaics and lighting,CH-447,"The course is made up of the understanding of the use of advanced materials for Dye-sensitized Solar Cells, Semiconductor Nanoparticles (Q-dots) and Organic Light Emitting Diodes (OLED)."
Advanced MEMS,MICRO-534,In depth analysis of the operation principles and technology of advanced micro- and nanosystems. Familiarisation to their implementation into products and their applications.
Advanced metallurgy,MSE-422,"This course covers advanced metals and alloys both in terms of specific alloy classes (e.g. Ni-base, Ti-base, Mg-base, precious metals, High Entropy alloys, Metallic glasses) as well as general concepts (e.g. electrical and thermal properties, general characteristics of metallic melts and solids)."
Advanced methods in computational solid mechanics,CIVIL-523,This is an advanced MS level class. It is of interest to engineering students who wish to develop know-how in computational science and engineering.
Advanced multiprocessor architecture,CS-471,"Multiprocessors are now the defacto building blocks for all computer systems. This course will build upon the basic concepts offered in Computer Architecture I to cover the architecture and organization of modern multiprocessors from mobile and embedded platforms to servers, data centers and cloud computing platforms. "
Advanced nanomaterials,MSE-477,"The course gives a detailed explanain of the physical,chemical and thermodynamic effects which are unique for nanostructured materials.  In a second part, different methods for synthesis and processing will be explained and important applications of nanomaterials will be presented. "
Advanced NMR and imaging,CH-401,"Principles of Magnetic Resonance Imaging (MRI) and main applications to medical imaging. Principles of modern multi-dimensional NMR in liquids and solids and application to biomolecules and materials.Principles of Hyperpolarization."
Advanced numerical analysis,MATH-351,"The student will learn state-of-the-art algorithms for solving ordinary differential equations, nonlinear systems, and optimization problems. Moreover, the analysis of these algorithms and their efficient implementation will be discussed in some detail."
Advanced principles and applications of systems biology,ChE-421,This course is a natural continuation of Principles and Applications of System Biology (ChE-411). The goal of this course is to introduce to students systems engineering methodologies as a tool for the study of complex biological networks.
Advanced probability and applications,COM-417,"In this course, various aspects of probability theory are considered. The first part is devoted to the main theorems in the field (law of large numbers, central limit theorems), while the second part focuses on the theory of martingales in discrete time."
Advanced regression,MATH-408,"A second course on regression modelling, dealing with nonlinear effects of explanatory variables, and non-normal, and non-independent response variables.  "
Advanced satellite positioning,ENV-542,"All fundamental principals behind modern satellite positioning to acquire, track and evaluate direct and indirect satellite signals and process them for positioning and environment-monitoring applications. "
Advanced steel design,CIVIL-435,"Advanced topics in structural steel seismic design. Topics include: bolted and welded beam-to-column connections; beam-columns, steel braces, eccentrically braced frame links, capacity design of conventional steel frame buildings; innovative steel lateral load resisting systems for seismic loading."
Advanced techniques for the risk analysis of technical systems,ETH-441,
Advanced topics in financial econometrics,FIN-521,The course presents some advanced topics in financial econometrics.
Advanced Topics in Nuclear Reactor Materials,ETH-530,"To comprehend advanced aspects of materials science as applied to nuclear power (fission and fusion), to get acquainted with materials for advanced plants, advanced damage characterization and life-time assessments"
Advanced VLSI design,EE-431,
Advanced wireless communications: algorithms and architectures,EE-543,"Students will extend their knowledge on wireless communication systems to spread-spectrum communication and to multi-antenna systems. They will also learn about the basic information theoretic concepts, about channel coding, and bit-interleaved coded modulation. "
Aerodynamics,ME-445,This course will provide the fluid dynamic background to understand how air flows around two- and three-dimensional wings and bodies and to understand the aerodynamics forces and moments acting on the objects as a result of the air flow. 
AÈroÈlasticitÈ et intÈraction fluide-structure,ME-435,"Static and dynamic response of coupled fluid-structure systems as a result of extraneously-induced excitation, motion-induced excitation, and fluid-instability-induced excitation."
Afrique contemporaine,HUM-261,"This course is an introduction to the central questions at stake in contemporary Africa. Considering the sheer impossibility of ""understanding Africa"", the course will explore case-studies and themes, starting with the image of Africa in the world, using the tools of historical analysis."
Air pollution and climate change,ENV-400,A survey course describing the origins of air pollution and climate change
Algebraic curves and cryptography,MATH-409,The goal of this course is to introduce basic notions from public-key cryptography based on algebraic curves over finite fields. We will introduce basic cryptographic schemes as well as discuss in-depth the discrete logarithm problem for elliptic and Jacobians of higher genus curves.  
AlgËbre,MATH-310,"The aim of this course is to introduce and study some of the notions of algebra which are especially useful in applications."
AlgËbre linÈaire,MATH-111(a),The purpose of the course is to introduce the basic notions of linear algebra and its applications.
AlgËbre linÈaire,MATH-111(b),The purpose of the course is to introduce the basic notions of linear algebra and its applications.
AlgËbre linÈaire,MATH-111(c),The purpose of the course is to introduce the basic notions of linear algebra and its applications.
AlgËbre linÈaire,MATH-111(d),The purpose of the course is to introduce the basic notions of linear algebra and its applications.
AlgËbre linÈaire,MATH-111(e),The purpose of the course is to introduce the basic notions of linear algebra and its applications.
AlgËbre linÈaire,MATH-111(f),The purpose of the course is to introduce the basic notions of linear algebra and its applications.
AlgËbre linÈaire,MATH-111(g),The purpose of the course is to introduce the basic notions of linear algebra and its applications.
AlgËbre linÈaire (anglais),MATH-111(en),The purpose of the course is to introduce the basic notions of linear algebra and its applications.
AlgËbre linÈaire avancÈe I,MATH-110(a),The purpose of the course is to introduce the basic notions of linear algebra and to prove rigorously the main results of the subject.
AlgËbre linÈaire avancÈe I,MATH-110(b),The purpose of this course is to introduce the basic notions of linear algebra and to prove the main results of the subject.
AlgËbre linÈaire avancÈe II,MATH-115(a),The purpose of the course is to introduce the basic notions of linear algebra and to prove rigorously the main results of the subject.
AlgËbre linÈaire avancÈe II,MATH-115(b),The purpose of this course is to introduce the basic notions of linear algebra and to prove rigorously the main results of the subject.
AlgËbre linÈaire (pour CMS),PREPA-001,
AlgËbre linÈaire (pour CMS),PREPA-002,
AlgËbres de Lie,MATH-319,"We introduce finite dimensional semisimple Lie algebras and establish theclassification theorem."
Algorithms,CS-250,"The students learn the theory and practice of basic concepts and techniques in algorithms. The course covers mathematical induction, techniques for analyzing algorithms, elementary data structures, major algorithmic paradigms such as dynamic programming, sorting and searching, and graph algorithms."
AltÈritÈs et intÈgrations,HEP-401,
AmÈnagement et gestion du territoire,ENV-361,At the end of the course studends will understand the mains problems of territorial development. They will konw the tools used for town and country planning. They will learn property procedures and financial aspects related to territorial projects. 
Analog circuits design I,EE-420,"The student will be able to design analog integrated circuits (and the analog parts of VLSI circuits). He will master the device structures and the basic circuits used in bipolar and MOS technologies, as well as the basic principles underlying their correct layout."
Analog circuits design II,EE-421,"The course extends and completes the topics of the ""Analog circuits design I"". The using of computer aided design tools becomes systematic in order to valiate the studied concepts. System level design is added with a complete design project of electronic mixed-mode system."
Analog circuits for biochip,EE-518,"Introduction to analog CMOS design for Remote Biosensors on Chip. Understanding and designing of active and remotely powered biosensing systems."
Analyse avancÈe I,MATH-100(a),"We study the fundamental concepts of analysis, calculus and the integral of real-valued functions of a real variable."
Analyse avancÈe I,MATH-100(b),"We study the fundamental concepts of analysis, calculus and the integral of real-valued functions of a real variable."
Analyse avancÈe II,MATH-105(a),The course studies fundamental concepts of analysis and the calculus of functions of several variables.
Analyse avancÈe II,MATH-105(b),The course studies fundamental concepts of analysis and the calculus of functions of several variables.
Analyse de produits et systËmes,MICRO-443,"Reverse engineering - a methodology of discovering the technological principles of a device, object, or system through analysis of its structure, function and operation. The purpose is to deduce design decisions from end-products with little or no additional knowledge about the original production."
Analyse des polluants dans l'environnement,ENV-300,"Evaluation of the quality of a river by using methods of observation as well as physico-chemical and biological methods. Collecting samples in the field and laboratory analysis.Practical determination and use of the constants of complexes formation."
"Analyse du cycle de vie, Ècobilan",ENV-370,Life Cycle Assessment (LCA) is a holistic method enabling companies to quantify the environmental performances of their products or services. This method is now applied mainly for ecodesign purposes and for environmental footprinting of products.
Analyse et gestion de risques,CIVIL-438,"The course aims to give tools to treat from a scientific viewpoint the issue of the analysis and management of natural and technological risks, with a particular emphasis to the field of civil engineering."
Analyse et management des risques industriels,ENV-508,"To present to students†: 1- basic concepts of industrial hazards (with practical cases of†chemical processes, oil storages,  pipelines,..). 2- how to use standard tools in order to perform an hazard and risks assessment."
Analyse exploratoire de donnÈes gÈospatiales,ENV-444,"This course of Exploratory data analysis and geovisualization provides an opportunity to implement exploratory statistical methods and software (EDA, ESDA, GVIZ) and to apply them to georeferenced data sets directly related to the field of environmental engineering."
Analyse fonctionnelle I,MATH-302,"Some basic concepts of linear functional analysis: bounded operators, compact operators, spectral theory for symmetric and compact operators, Hahn-Banach theorem, the open mapping and closed graph theorems. "
Analyse fonctionnelle II,MATH-404,"Locally convex spaces, inductive limit, space of compactly supported smooth functions.Spectral theory for bounded and self-adjoint operators, spectral family, associated self-adjoint operator.Calculus in Banach spaces, FrÈchet's derivative, Taylor's theorem."
Analyse I,MATH-101(a),"We study the fundamental concepts of analysis, calculus and the integral of real-valued functions of a real variable."
Analyse I,MATH-101(b),"We study the fundamental concepts of analysis, calculus and the integral of real-valued functions of one real variable."
Analyse I,MATH-101(c),"We study the fundamental concepts of analysis, calculus and the integral of real-valued functions of a real variable."
Analyse I,MATH-101(d),"Study the fundamental concepts of analysis, and the differential and integral calculus of real-valued functions of one real variable."
Analyse I,MATH-101(e),"We study the fundamental concepts of analysis, calculus and the integral of real-valued functions of a real variable."
Analyse I,MATH-101(f),"We study the fundamental concepts of analysis, calculus and the integral of real-valued functions of a real variable."
Analyse I,MATH-101(g),"We study the fundamental concepts of analysis, calculus and the integral of real-valued functions of one real variable."
Analyse I (allemand),MATH-101(de),Study of fundamental concepts of analysis and differential/integral calculus of univariate functions.
Analyse I (anglais),MATH-101(en),"We study the fundamental concepts of analysis, calculus and the integral of real-valued functions of a real variable."
Analyse II,MATH-106(a),The course studies fundamental concepts of analysis and the calculus of functions of several variables.
Analyse II,MATH-106(b),The course studies fundamental concepts of analysis and the calculus of functions of several variables.
Analyse II,MATH-106(c),The course studies fundamental concepts of analysis and the calculus of functions of several variables.
Analyse II,MATH-106(e),The course studies fundamental concepts of analysis and the calculus of functions of several variables.
Analyse II,MATH-106(f),The course studies fundamental concepts of analysis and the calculus of functions of several variables.
